25-05-24.03:00:23.235 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-05-24.03:00:24.847 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.850 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.853 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.856 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.859 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.862 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.868 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.872 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.875 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.884 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.889 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.894 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.898 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.901 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.908 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.912 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.917 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.922 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.927 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:00:24.933 [main            ] WARN  RaffleOrderTest        - activity not open (not in open state)
25-05-24.03:01:18.185 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-05-24.03:02:13.354 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-05-24.03:02:54.690 [Retail_HikariCP housekeeper] WARN  HikariPool             - Retail_HikariCP - Thread starvation or clock leap detected (housekeeper delta=1m9s471ms).
25-05-24.03:03:47.693 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
